AccountID,BranchID,ProductCode,CustomerName
ACC0000001,BR0187,HL001,Aaryahi Gandhi
ACC0000002,BR0064,BL001,Kabir Atwal
ACC0000003,BR0379,SAV001,Ritvik Basak
ACC0000004,BR0473,VL001,Azad Yohannan
ACC0000005,BR0437,SAL001,Gokul Khurana
ACC0000006,BR0114,HL001,Yuvaan Hayre
ACC0000007,BR0499,HL001,Tushar Borde
ACC0000008,BR0143,PL001,Purab Desai
ACC0000009,BR0437,CC001,Sana Grover
ACC0000010,BR0434,BL001,Pari Sundaram
ACC0000011,BR0466,PL001,Anya Kari
ACC0000012,BR0289,BL001,Arnav Vasa
ACC0000013,BR0244,CC001,Neelofar Brahmbhatt
ACC0000014,BR0194,CUR001,Ishita Mammen
ACC0000015,BR0165,EL001,Rania Mandal
ACC0000016,BR0320,VL001,Elakshi Chanda
ACC0000017,BR0433,SAV001,Neelofar Ahluwalia
ACC0000018,BR0409,FD001,Heer Char
ACC0000019,BR0410,EL001,Kabir Tank
ACC0000020,BR0277,VL001,Krish Bhagat
ACC0000021,BR0022,EL001,Manikya Brahmbhatt
ACC0000022,BR0470,CC001,Indrans Gara
ACC0000023,BR0118,FD001,Yashvi Sundaram
ACC0000024,BR0119,BL001,Ritvik Soni
ACC0000025,BR0271,SAV001,Chirag Bhavsar
ACC0000026,BR0283,VL001,Aayush Kamdar
ACC0000027,BR0462,FD001,Vivaan Kannan
ACC0000028,BR0374,EL001,Yashvi Bajwa
ACC0000029,BR0349,EL001,Hunar Ramakrishnan
ACC0000030,BR0054,EL001,Anya Kala
ACC0000031,BR0385,FD001,Ritvik Sunder
ACC0000032,BR0268,SAV001,Rohan Yogi
ACC0000033,BR0178,SAV001,Himmat Rajan
ACC0000034,BR0066,VL001,Riya Deol
ACC0000035,BR0358,HL001,Drishya Arora
ACC0000036,BR0137,PL001,Veer Walla
ACC0000037,BR0426,CC001,Mannat Agrawal
ACC0000038,BR0115,CC001,Kartik Halder
ACC0000039,BR0100,EL001,Renee Buch
ACC0000040,BR0090,CC001,Anvi Varty
ACC0000041,BR0075,BL001,Ishaan Anne
ACC0000042,BR0089,CUR001,Aniruddh Vasa
ACC0000043,BR0097,EL001,Samarth Lal
ACC0000044,BR0454,SAL001,Yakshit Goel
ACC0000045,BR0459,SAL001,Trisha Raman
ACC0000046,BR0261,SAV001,Trisha Sawhney
ACC0000047,BR0449,SAV001,Baiju Kumar
ACC0000048,BR0467,SAV001,Arnav Lal
ACC0000049,BR0371,EL001,Aayush Bera
ACC0000050,BR0025,SAL001,Dhruv Keer
ACC0000051,BR0116,SAV001,Oorja Dasgupta
ACC0000052,BR0103,FD001,Damini Bhandari
ACC0000053,BR0385,FD001,Mehul Goel
ACC0000054,BR0321,VL001,Piya Swaminathan
ACC0000055,BR0062,FD001,Samarth Deol
ACC0000056,BR0026,EL001,Nakul Kalla
ACC0000057,BR0074,CC001,Saksham Kuruvilla
ACC0000058,BR0113,HL001,Fateh Shenoy
ACC0000059,BR0294,BL001,Aaina Gala
ACC0000060,BR0283,BL001,Keya Kurian
ACC0000061,BR0429,PL001,Emir Borah
ACC0000062,BR0320,VL001,Devansh Din
ACC0000063,BR0247,EL001,Yakshit Dhaliwal
ACC0000064,BR0308,EL001,Hazel Badal
ACC0000065,BR0064,EL001,Yasmin Sanghvi
ACC0000066,BR0483,HL001,Adah Ahuja
ACC0000067,BR0266,SAL001,Miraya Malhotra
ACC0000068,BR0404,SAV001,Vihaan Deo
ACC0000069,BR0245,SAV001,Jivika Kulkarni
